model,nodes,vertices,features,time,exp_type,density
agnn,16,524288,128,0.918463945388794,AGNN_DIST_SAMPLE,0.0001
agnn,16,524288,128,1.2532973289489746,AGNN_DIST_SAMPLE,0.001
agnn,16,524288,128,304.045,AGNN_THIS_WORK,0.01
agnn,16,524288,128,42.449,AGNN_THIS_WORK,0.001
agnn,16,524288,128,8.571,AGNN_THIS_WORK,0.0001
agnn,16,524288,16,0.457,AGNN_THIS_WORK,0.0001
agnn,16,524288,16,0.5625429153442383,AGNN_DIST,0.001
agnn,16,524288,16,0.965,AGNN_THIS_WORK,0.001
agnn,16,524288,16,1.2381591796875,AGNN_DIST_SAMPLE,0.001
agnn,16,524288,16,3.458,AGNN_THIS_WORK,0.01
agnn,2,1048576,16,11.69194507598877,AGNN_DIST,
agnn,2,1048576,16,30.27275347709656,AGNN_DIST_SAMPLE,
agnn,2,131072,128,0.3369002342224121,AGNN_DIST,0.0001
agnn,2,131072,128,0.3769700527191162,AGNN_DIST,0.001
agnn,2,131072,128,0.427837610244751,AGNN_DIST,0.01
agnn,2,131072,128,0.4337706565856933,AGNN_AGNN_DIST,
agnn,2,131072,128,0.6439907550811768,AGNN_DIST_SAMPLE,0.0001
agnn,2,131072,128,0.8541934490203857,AGNN_DIST_SAMPLE,0.001
agnn,2,131072,128,1.0793118476867676,AGNN_DIST_SAMPLE,0.01
agnn,2,131072,128,1.429260015487671,AGNN_AGNN_DIST_SAMPLE,
agnn,2,131072,16,0.1915252208709716,AGNN_DIST,0.01
agnn,2,131072,16,0.3068215847015381,AGNN_DIST,0.001
agnn,2,131072,16,0.3159871101379394,AGNN_DIST,
agnn,2,131072,16,0.5144941806793213,AGNN_DIST,0.0001
agnn,2,131072,16,0.799431562423706,AGNN_DIST_SAMPLE,0.0001
agnn,2,131072,16,1.0202641487121582,AGNN_DIST_SAMPLE,0.001
agnn,2,131072,16,1.163677453994751,AGNN_DIST_SAMPLE,0.01
agnn,2,131072,16,1.6543121337890625,AGNN_DIST_SAMPLE,
agnn,2,2097152,16,107.44582748413086,AGNN_DIST_SAMPLE,
agnn,2,2097152,16,61.86097741127014,AGNN_DIST,
agnn,2,262144,128,0.5985667705535889,AGNN_DIST,0.001
agnn,2,262144,128,0.7231733798980713,AGNN_DIST,0.0001
agnn,2,262144,128,1.4682974815368652,AGNN_DIST,0.01
agnn,2,262144,128,1.7670636177062988,AGNN_DIST_SAMPLE,0.0001
agnn,2,262144,128,2.53339958190918,AGNN_DIST_SAMPLE,0.001
agnn,2,262144,128,3.115808248519897,AGNN_DIST_SAMPLE,0.01
agnn,2,262144,16,0.4036355018615722,AGNN_DIST,0.01
agnn,2,262144,16,0.9104065895080566,AGNN_DIST,0.001
agnn,2,262144,16,1.1030604839324951,AGNN_DIST,0.0001
agnn,2,262144,16,2.105590343475342,AGNN_DIST_SAMPLE,0.0001
agnn,2,262144,16,2.467637777328491,AGNN_DIST,
agnn,2,262144,16,2.776477336883545,AGNN_DIST_SAMPLE,0.001
agnn,2,262144,16,3.4949820041656494,AGNN_DIST_SAMPLE,0.01
agnn,2,262144,16,5.287973403930664,AGNN_DIST_SAMPLE,
agnn,2,524288,128,0.99603533744812,AGNN_DIST,0.0001
agnn,2,524288,128,1.7216417789459229,AGNN_DIST,0.001
agnn,2,524288,128,4.926928043365479,AGNN_DIST_SAMPLE,0.0001
agnn,2,524288,128,7.199785470962524,AGNN_DIST_SAMPLE,0.001
agnn,2,524288,16,1.0412352085113523,AGNN_DIST,0.001
agnn,2,524288,16,4.690101385116577,AGNN_DIST,0.0001
agnn,2,524288,16,5.948599576950073,AGNN_DIST_SAMPLE,0.0001
agnn,2,524288,16,7.983259201049805,AGNN_DIST_SAMPLE,0.001
agnn,256,1048576,128,3.776,AGNN_THIS_WORK,0.0001
agnn,256,1048576,128,3.827,AGNN_THIS_WORK,0.0001
agnn,256,1048576,128,47.773,AGNN_THIS_WORK,0.01
agnn,256,1048576,128,8.654,AGNN_THIS_WORK,0.001
agnn,256,1048576,16,0.261,AGNN_THIS_WORK,0.0001
agnn,256,1048576,16,0.265,AGNN_THIS_WORK,0.0001
agnn,256,1048576,16,0.436,AGNN_THIS_WORK,0.001
agnn,256,1048576,16,0.949,AGNN_THIS_WORK,0.01
agnn,256,131072,128,0.389,AGNN_THIS_WORK,0.0001
agnn,256,131072,128,0.442,AGNN_THIS_WORK,0.001
agnn,256,131072,128,0.844,AGNN_THIS_WORK,0.01
agnn,256,131072,128,0.866,AGNN_THIS_WORK,0.01
agnn,256,131072,128,0.87,AGNN_AGNN_THIS_WORK,
agnn,256,131072,16,0.054,AGNN_THIS_WORK,0.001
agnn,256,131072,16,0.058,AGNN_THIS_WORK,0.0001
agnn,256,131072,16,0.058,AGNN_THIS_WORK,0.01
agnn,256,131072,16,0.069,AGNN_THIS_WORK,0.01
agnn,256,2097152,128,39.312,AGNN_THIS_WORK,0.001
agnn,256,2097152,128,9.49,AGNN_THIS_WORK,0.0001
agnn,256,2097152,128,9.954,AGNN_THIS_WORK,0.0001
agnn,256,2097152,16,0.646,AGNN_THIS_WORK,0.0001
agnn,256,2097152,16,0.655,AGNN_THIS_WORK,0.0001
agnn,256,2097152,16,1.059,AGNN_THIS_WORK,0.001
agnn,256,2097152,16,3.183,AGNN_THIS_WORK,0.01
agnn,256,262144,128,0.898,AGNN_THIS_WORK,0.0001
agnn,256,262144,128,1.063,AGNN_THIS_WORK,0.001
agnn,256,262144,128,2.238,AGNN_THIS_WORK,0.01
agnn,256,262144,128,2.286,AGNN_THIS_WORK,0.01
agnn,256,262144,16,0.081,AGNN_THIS_WORK,0.0001
agnn,256,262144,16,0.086,AGNN_THIS_WORK,0.001
agnn,256,262144,16,0.148,AGNN_THIS_WORK,0.01
agnn,256,262144,16,0.153,AGNN_THIS_WORK,0.01
agnn,256,524288,128,1.408,AGNN_THIS_WORK,0.0001
agnn,256,524288,128,2.568,AGNN_THIS_WORK,0.001
agnn,256,524288,128,8.093,AGNN_THIS_WORK,0.01
agnn,256,524288,16,0.139,AGNN_THIS_WORK,0.0001
agnn,256,524288,16,0.175,AGNN_THIS_WORK,0.001
agnn,256,524288,16,0.318,AGNN_THIS_WORK,0.01
agnn,32,1048576,16,1.3968894481658936,AGNN_DIST,
agnn,32,1048576,16,2.534642219543457,AGNN_DIST_SAMPLE,
agnn,32,131072,128,0.343461275100708,AGNN_AGNN_DIST,
agnn,32,131072,128,0.6031208038330078,AGNN_AGNN_DIST_SAMPLE,
agnn,32,131072,16,0.181145429611206,AGNN_DIST,
agnn,32,131072,16,0.5349056720733643,AGNN_DIST_SAMPLE,
agnn,32,2097152,16,5.762055158615112,AGNN_DIST,
agnn,32,2097152,16,7.083981990814209,AGNN_DIST_SAMPLE,
agnn,32,262144,16,0.3546376228332519,AGNN_DIST,
agnn,32,262144,16,0.9275798797607422,AGNN_DIST_SAMPLE,
agnn,4,1048576,128,126.496,AGNN_THIS_WORK,0.0001
agnn,4,1048576,128,127.675,AGNN_THIS_WORK,0.0001
agnn,4,1048576,16,12.88017439842224,AGNN_DIST,
agnn,4,1048576,16,15.46555757522583,AGNN_DIST_SAMPLE,
agnn,4,1048576,16,15.928,AGNN_THIS_WORK,0.001
agnn,4,1048576,16,3.775,AGNN_THIS_WORK,0.0001
agnn,4,1048576,16,3.871,AGNN_THIS_WORK,0.0001
agnn,4,131072,128,0.1857638359069824,AGNN_DIST,0.0001
agnn,4,131072,128,0.2919342517852783,AGNN_DIST,0.001
agnn,4,131072,128,0.3257226943969726,AGNN_DIST,0.01
agnn,4,131072,128,0.3507506847381592,AGNN_DIST_SAMPLE,0.0001
agnn,4,131072,128,0.3560290336608886,AGNN_AGNN_DIST,
agnn,4,131072,128,0.5153515338897705,AGNN_DIST_SAMPLE,0.001
agnn,4,131072,128,0.6431961059570312,AGNN_DIST_SAMPLE,0.01
agnn,4,131072,128,0.8754594326019287,AGNN_AGNN_DIST_SAMPLE,
agnn,4,131072,128,2.959,AGNN_THIS_WORK,0.0001
agnn,4,131072,128,58.897,AGNN_THIS_WORK,0.01
agnn,4,131072,128,60.065,AGNN_AGNN_THIS_WORK,
agnn,4,131072,128,60.268,AGNN_THIS_WORK,0.01
agnn,4,131072,128,8.101,AGNN_THIS_WORK,0.001
agnn,4,131072,16,0.182,AGNN_THIS_WORK,0.0001
agnn,4,131072,16,0.1888637542724609,AGNN_DIST,0.0001
agnn,4,131072,16,0.1893868446350097,AGNN_DIST,0.001
agnn,4,131072,16,0.1898853778839111,AGNN_DIST,0.01
agnn,4,131072,16,0.2508504390716553,AGNN_DIST,
agnn,4,131072,16,0.332,AGNN_THIS_WORK,0.001
agnn,4,131072,16,0.4393436908721924,AGNN_DIST_SAMPLE,0.0001
agnn,4,131072,16,0.5313825607299805,AGNN_DIST_SAMPLE,0.001
agnn,4,131072,16,0.6576576232910156,AGNN_DIST_SAMPLE,0.01
agnn,4,131072,16,0.903080940246582,AGNN_DIST_SAMPLE,
agnn,4,131072,16,0.975,AGNN_THIS_WORK,0.01
agnn,4,131072,16,1.006,AGNN_THIS_WORK,0.01
agnn,4,2097152,128,566.783,AGNN_THIS_WORK,0.0001
agnn,4,2097152,16,11.957,AGNN_THIS_WORK,0.0001
agnn,4,2097152,16,11.972,AGNN_THIS_WORK,0.0001
agnn,4,2097152,16,42.720967531204224,AGNN_DIST,
agnn,4,2097152,16,50.410990715026855,AGNN_DIST_SAMPLE,
agnn,4,262144,128,0.3786985874176025,AGNN_DIST,0.0001
agnn,4,262144,128,0.4420273303985595,AGNN_DIST,0.001
agnn,4,262144,128,0.6310272216796875,AGNN_DIST,0.01
agnn,4,262144,128,0.8488843441009521,AGNN_DIST_SAMPLE,0.0001
agnn,4,262144,128,1.3273167610168457,AGNN_DIST_SAMPLE,0.001
agnn,4,262144,128,1.565680980682373,AGNN_DIST_SAMPLE,0.01
agnn,4,262144,128,333.078,AGNN_THIS_WORK,0.01
agnn,4,262144,128,45.207,AGNN_THIS_WORK,0.001
agnn,4,262144,128,8.186,AGNN_THIS_WORK,0.0001
agnn,4,262144,16,0.444,AGNN_THIS_WORK,0.0001
agnn,4,262144,16,0.449155330657959,AGNN_DIST,0.0001
agnn,4,262144,16,0.53360915184021,AGNN_DIST,0.01
agnn,4,262144,16,0.5391192436218262,AGNN_DIST,0.001
agnn,4,262144,16,0.96,AGNN_THIS_WORK,0.001
agnn,4,262144,16,1.0536866188049316,AGNN_DIST_SAMPLE,0.0001
agnn,4,262144,16,1.375826358795166,AGNN_DIST_SAMPLE,0.001
agnn,4,262144,16,1.5953280925750732,AGNN_DIST,
agnn,4,262144,16,1.7131471633911133,AGNN_DIST_SAMPLE,0.01
agnn,4,262144,16,2.8219947814941406,AGNN_DIST_SAMPLE,
agnn,4,262144,16,3.628,AGNN_THIS_WORK,0.01
agnn,4,262144,16,3.633,AGNN_THIS_WORK,0.01
agnn,4,524288,128,1.5500035285949707,AGNN_DIST,0.001
agnn,4,524288,128,1.6664507389068604,AGNN_DIST,0.0001
agnn,4,524288,128,2.410374402999878,AGNN_DIST_SAMPLE,0.0001
agnn,4,524288,128,25.624,AGNN_THIS_WORK,0.0001
agnn,4,524288,128,3.411900043487549,AGNN_DIST_SAMPLE,0.001
agnn,4,524288,16,1.095,AGNN_THIS_WORK,0.0001
agnn,4,524288,16,2.021005868911743,AGNN_DIST,0.001
agnn,4,524288,16,3.384,AGNN_THIS_WORK,0.001
agnn,4,524288,16,3.9075541496276855,AGNN_DIST_SAMPLE,0.001
agnn,64,1048576,128,43.299,AGNN_THIS_WORK,0.001
agnn,64,1048576,128,8.987,AGNN_THIS_WORK,0.0001
agnn,64,1048576,128,9.272,AGNN_THIS_WORK,0.0001
agnn,64,1048576,16,0.597,AGNN_THIS_WORK,0.0001
agnn,64,1048576,16,0.709,AGNN_THIS_WORK,0.0001
agnn,64,1048576,16,1.064,AGNN_THIS_WORK,0.001
agnn,64,1048576,16,3.309,AGNN_THIS_WORK,0.01
agnn,64,131072,128,0.799,AGNN_THIS_WORK,0.0001
agnn,64,131072,128,0.984,AGNN_THIS_WORK,0.001
agnn,64,131072,128,2.168,AGNN_THIS_WORK,0.01
agnn,64,131072,128,2.229,AGNN_AGNN_THIS_WORK,
agnn,64,131072,128,2.248,AGNN_THIS_WORK,0.01
agnn,64,131072,16,0.057,AGNN_THIS_WORK,0.0001
agnn,64,131072,16,0.096,AGNN_THIS_WORK,0.001
agnn,64,131072,16,0.135,AGNN_THIS_WORK,0.01
agnn,64,131072,16,0.139,AGNN_THIS_WORK,0.01
agnn,64,2097152,128,28.872,AGNN_THIS_WORK,0.0001
agnn,64,2097152,128,29.689,AGNN_THIS_WORK,0.0001
agnn,64,2097152,16,1.16,AGNN_THIS_WORK,0.0001
agnn,64,2097152,16,1.216,AGNN_THIS_WORK,0.0001
agnn,64,2097152,16,3.15,AGNN_THIS_WORK,0.001
agnn,64,262144,128,1.15,AGNN_THIS_WORK,0.0001
agnn,64,262144,128,2.48,AGNN_THIS_WORK,0.001
agnn,64,262144,128,8.417,AGNN_THIS_WORK,0.01
agnn,64,262144,128,8.426,AGNN_THIS_WORK,0.01
agnn,64,262144,16,0.116,AGNN_THIS_WORK,0.0001
agnn,64,262144,16,0.15,AGNN_THIS_WORK,0.001
agnn,64,262144,16,0.314,AGNN_THIS_WORK,0.01
agnn,64,262144,16,0.332,AGNN_THIS_WORK,0.01
agnn,64,524288,128,3.457,AGNN_THIS_WORK,0.0001
agnn,64,524288,128,51.551,AGNN_THIS_WORK,0.01
agnn,64,524288,128,8.291,AGNN_THIS_WORK,0.001
agnn,64,524288,16,0.282,AGNN_THIS_WORK,0.0001
agnn,64,524288,16,0.372,AGNN_THIS_WORK,0.001
agnn,64,524288,16,0.935,AGNN_THIS_WORK,0.01
agnn,8,1048576,16,6.042851209640503,AGNN_DIST,
agnn,8,1048576,16,7.713801145553589,AGNN_DIST_SAMPLE,
agnn,8,131072,128,0.1104917526245117,AGNN_DIST,0.0001
agnn,8,131072,128,0.1197321414947509,AGNN_DIST,0.001
agnn,8,131072,128,0.1251802444458007,AGNN_DIST,0.01
agnn,8,131072,128,0.1935868263244629,AGNN_AGNN_DIST,
agnn,8,131072,128,0.243873119354248,AGNN_DIST_SAMPLE,0.0001
agnn,8,131072,128,0.3039844036102295,AGNN_DIST_SAMPLE,0.001
agnn,8,131072,128,0.418729305267334,AGNN_DIST_SAMPLE,0.01
agnn,8,131072,128,0.5039918422698975,AGNN_AGNN_DIST_SAMPLE,
agnn,8,131072,16,0.0755054950714111,AGNN_DIST,0.001
agnn,8,131072,16,0.1145017147064209,AGNN_DIST,0.01
agnn,8,131072,16,0.1770758628845214,AGNN_DIST,
agnn,8,131072,16,0.2972395420074463,AGNN_DIST_SAMPLE,0.001
agnn,8,131072,16,0.402994155883789,AGNN_DIST_SAMPLE,0.01
agnn,8,131072,16,0.5699341297149658,AGNN_DIST_SAMPLE,
agnn,8,2097152,16,20.652493238449097,AGNN_DIST,
agnn,8,2097152,16,23.72135353088379,AGNN_DIST_SAMPLE,
agnn,8,262144,128,0.2216386795043945,AGNN_DIST,0.0001
agnn,8,262144,128,0.3298540115356445,AGNN_DIST,0.001
agnn,8,262144,128,0.4073381423950195,AGNN_DIST,0.01
agnn,8,262144,128,0.5296478271484375,AGNN_DIST_SAMPLE,0.0001
agnn,8,262144,128,0.7629883289337158,AGNN_DIST_SAMPLE,0.001
agnn,8,262144,128,0.9178929328918456,AGNN_DIST_SAMPLE,0.01
agnn,8,262144,16,0.6310508251190186,AGNN_DIST,
agnn,8,262144,16,1.51568341255188,AGNN_DIST_SAMPLE,
agnn,8,524288,128,0.8357508182525635,AGNN_DIST,0.0001
agnn,8,524288,128,0.9488050937652588,AGNN_DIST,0.001
agnn,8,524288,128,1.3473551273345947,AGNN_DIST_SAMPLE,0.0001
agnn,8,524288,128,1.8387775421142576,AGNN_DIST_SAMPLE,0.001
gat,1,1048576,128,45.154,GAT_THIS_WORK,0.0001
gat,1,1048576,128,45.2,GAT_THIS_WORK,0.0001
gat,1,1048576,16,13.502,GAT_THIS_WORK,0.0001
gat,1,1048576,16,13.652,GAT_THIS_WORK,0.0001
gat,1,1048576,16,3.8231050968170166,GAT_NORM,
gat,1,1048576,16,66.95854783058167,GAT_DIST_SAMPLE,
gat,1,1048576,16,7.663567066192627,GAT_DIST,
gat,1,131072,128,1.268730640411377,GAT_DIST,0.0001
gat,1,131072,128,1.6441445350646973,GAT_DIST,0.001
gat,1,131072,128,1.6468873023986816,GAT_DIST_SAMPLE,0.0001
gat,1,131072,128,1.8880589008331297,GAT_DIST,0.01
gat,1,131072,128,19.098,GAT_GAT_THIS_WORK,
gat,1,131072,128,19.103,GAT_THIS_WORK,0.01
gat,1,131072,128,19.116,GAT_THIS_WORK,0.01
gat,1,131072,128,2.1774587631225586,GAT_DIST_SAMPLE,0.001
gat,1,131072,128,2.3,GAT_THIS_WORK,0.0001
