Timestamp,Model,Algorithm,#Nodes,#Vertices,#Features,#Features_2,Density,Time mean [ms],Setting,What is this?
2023-04-01 20:57:54.107588,gcn,dgl,16,262144,128,128,0.01,0.35448503494262695,DIST,16384
2023-04-01 20:58:27.488585,va,dgl,16,262144,128,128,0.01,0.35782957077026367,DIST,16384
2023-04-01 20:58:48.629023,agnn,dgl,16,131072,128,128,0.01,0.2760159969329834,DIST,16384
2023-04-01 20:59:20.273353,gat,dgl,16,131072,128,128,0.01,0.46823692321777344,DIST,16384
2023-04-01 20:57:51.699306,gcn,dgl,16,131072,128,128,0.01,0.19619035720825195,DIST,16384
2023-04-01 20:58:18.822573,va,dgl,16,131072,128,128,0.01,0.3126063346862793,DIST,16384
2023-04-01 21:04:49.425474,agnn,dgl,32,1048576,128,128,0.0001,1.7638607025146484,DIST,16384
2023-04-02 23:08:10.362527,gat,dgl,32,1048576,128,128,0.0001,2.372497320175171,DIST,16384
2023-04-01 21:03:18.762327,gcn,dgl,32,1048576,128,128,0.0001,2.133331775665283,DIST,16384
2023-04-01 21:04:08.439026,va,dgl,32,1048576,128,128,0.0001,1.9552173614501953,DIST,16384
2023-04-020.:23:16.746922,agnn,dgl,32,262144,128,128,0.01,0.5479826927185059,DIST,16384
2023-04-020.:23:52.526236,gat,dgl,32,262144,128,128,0.01,0.8820719718933105,DIST,16384
2023-04-020.:20:42.254464,gcn,dgl,32,262144,128,128,0.01,0.48980212211608887,DIST,16384
2023-04-020.:22:32.617628,va,dgl,32,262144,128,128,0.01,0.5422863960266113,DIST,16384
2023-04-01 21:05:44.281558,agnn,dgl,32,2097152,128,128,0.0001,6.097498893737793,DIST,16384
2023-04-01 21:03:32.078850,gcn,dgl,32,2097152,128,128,0.0001,6.1846442222595215,DIST,16384
2023-04-01 21:04:41.644507,va,dgl,32,2097152,128,128,0.0001,6.619011878967285,DIST,16384
2023-04-01 21:04:33.033745,agnn,dgl,32,131072,128,128,0.01,0.40753769874572754,DIST,16384
2023-04-01 21:05:08.464320,gat,dgl,32,131072,128,128,0.01,0.5573089122772217,DIST,16384
2023-04-01 21:03:16.580376,gcn,dgl,32,131072,128,128,0.01,0.3522496223449707,DIST,16384
2023-04-01 21:03:57.717767,va,dgl,32,131072,128,128,0.01,0.3869001865386963,DIST,16384
