Experiment ID,Job ID,Model,Task,Setting,#Repetitions,#Nodes,Dataset,Datatyp,Scale,#Vertices,Density,#Edges,#Layers,#Features,Elapsed,Node-Hours,Done,Time mean [ms],Time std [ms]
19,45827804,GAT,Training,Distributed,1,256,Kronecker,float32,20,1048576,0.01%,109951163,3,128,,,,1707,
20,45827916,GAT,Training,Distributed,1,256,Kronecker,float32,21,2097152,0.01%,439804651,3,128,,,,3449,
1,45830475,GAT,Training,Single Node,1,1,Kronecker,float32,17,131072,1%,171798692,3,16,,,,7935,
2,45830491,GAT,Training,Single Node,1,1,Kronecker,float32,18,262144,1%,687194767,3,16,,,OOM,,
3,45830509,GAT,Training,Single Node,1,1,Kronecker,float32,20,1048576,0.01%,109951163,3,16,,,,13241,
4,45830524,GAT,Training,Single Node,1,1,Kronecker,float32,21,2097152,0.01%,439804651,3,16,,,,51938,
5,45830477,GAT,Training,Single Node,1,1,Kronecker,float32,17,131072,1%,171798692,3,128,,,,18806,
6,45830492,GAT,Training,Single Node,1,1,Kronecker,float32,18,262144,1%,687194767,3,128,,,OOM,,
7,45830517,GAT,Training,Single Node,1,1,Kronecker,float32,20,1048576,0.01%,109951163,3,128,,,,43381,
8,45830525,GAT,Training,Single Node,1,1,Kronecker,float32,21,2097152,0.01%,439804651,3,128,,,,148411,
,45834458,VA,Training,Single Node,1,1,Kronecker,float32,17,131072,1%,171798692,3,16,,,,25623,
,45841943,VA,Training,Single Node,1,1,Kronecker,float32,18,262144,1%,687194767,3,16,,,OOM,,
,45834536,VA,Training,Single Node,1,1,Kronecker,float32,20,1048576,0.01%,109951163,3,16,,,,46883,
,45837555,VA,Training,Single Node,1,1,Kronecker,float32,21,2097152,0.01%,439804651,3,16,,,CUDA OOM,,
,45834472,VA,Training,Distributed,1,4,Kronecker,float32,17,131072,1%,171798692,3,16,,,,9756,
,45841950,VA,Training,Distributed,1,4,Kronecker,float32,18,262144,1%,687194767,3,16,,,,22706,
,45834553,VA,Training,Distributed,1,4,Kronecker,float32,20,1048576,0.01%,109951163,3,16,,,,14322,
,45834614,VA,Training,Distributed,1,4,Kronecker,float32,21,2097152,0.01%,439804651,3,16,,,,46726,
,45834474,VA,Training,Distributed,1,16,Kronecker,float32,17,131072,1%,171798692,3,16,,,,4561,
